# (Kp, Ki, Kd, alpha) = (0.7, 0.11666666666666667, 1.0, 0)
#  Sacamos el alpha, barremos sólo el Ki
#  tiempo, setpoint, pwm, error
2.192376375198364258e+00,3.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.238257646560668945e+00,3.000000000000000000e+02,2.550000000000000000e+02,2.800000000000000000e+02
2.296702146530151367e+00,3.000000000000000000e+02,1.994079751968383789e+02,2.800000000000000000e+02
2.361938714981079102e+00,3.000000000000000000e+02,2.015390364329020088e+02,2.800000000000000000e+02
2.426004409790039062e+00,3.000000000000000000e+02,1.873153971240338649e+02,2.790000000000000000e+02
2.521393537521362305e+00,3.000000000000000000e+02,2.060292909065882156e+02,2.790000000000000000e+02
2.585644245147705078e+00,3.000000000000000000e+02,2.081206514398256786e+02,2.790000000000000000e+02
2.648832559585571289e+00,3.000000000000000000e+02,2.267105139993635703e+02,2.800000000000000000e+02
2.713586330413818359e+00,3.000000000000000000e+02,2.130000928918520628e+02,2.800000000000000000e+02
2.777532577514648438e+00,3.000000000000000000e+02,1.987434089372322887e+02,2.790000000000000000e+02
2.840919017791748047e+00,3.000000000000000000e+02,2.164447718660036628e+02,2.790000000000000000e+02
2.905270338058471680e+00,3.000000000000000000e+02,2.347866117073123746e+02,2.800000000000000000e+02
2.969484090805053711e+00,3.000000000000000000e+02,2.050640846615288240e+02,2.790000000000000000e+02
3.033233880996704102e+00,3.000000000000000000e+02,2.227121283173560755e+02,2.790000000000000000e+02
3.096962928771972656e+00,3.000000000000000000e+02,2.411853755706138145e+02,2.800000000000000000e+02
3.161299228668212891e+00,3.000000000000000000e+02,2.275955963412920653e+02,2.800000000000000000e+02
3.225932598114013672e+00,3.000000000000000000e+02,2.297069530765215291e+02,2.800000000000000000e+02
3.321525812149047852e+00,3.000000000000000000e+02,2.328296647349993123e+02,2.800000000000000000e+02
3.384850502014160156e+00,3.000000000000000000e+02,2.183992545304949431e+02,2.790000000000000000e+02
3.448725461959838867e+00,3.000000000000000000e+02,2.526330525316179774e+02,2.800000000000000000e+02
3.513473272323608398e+00,3.000000000000000000e+02,2.390925605535506975e+02,2.800000000000000000e+02
3.577757596969604492e+00,3.000000000000000000e+02,2.411925151586532365e+02,2.800000000000000000e+02
3.640950918197631836e+00,3.000000000000000000e+02,2.432568303187688059e+02,2.800000000000000000e+02
3.705937623977661133e+00,3.000000000000000000e+02,2.292843850026669372e+02,2.790000000000000000e+02
3.769446372985839844e+00,3.000000000000000000e+02,2.550000000000000000e+02,2.800000000000000000e+02
3.833483457565307617e+00,3.000000000000000000e+02,2.495386448224385560e+02,2.800000000000000000e+02
3.897627830505371094e+00,3.000000000000000000e+02,2.516340276718139535e+02,2.800000000000000000e+02
3.961173057556152344e+00,3.000000000000000000e+02,2.537098384221394838e+02,2.800000000000000000e+02
4.025471687316894531e+00,3.000000000000000000e+02,2.550000000000000000e+02,2.800000000000000000e+02
4.121666669845581055e+00,3.000000000000000000e+02,2.478458544165861497e+02,2.790000000000000000e+02
4.184957027435302734e+00,3.000000000000000000e+02,2.550000000000000000e+02,2.800000000000000000e+02
4.248945713043212891e+00,3.000000000000000000e+02,2.550000000000000000e+02,2.800000000000000000e+02
4.313750028610229492e+00,3.000000000000000000e+02,2.550000000000000000e+02,2.800000000000000000e+02
4.377144098281860352e+00,3.000000000000000000e+02,2.550000000000000000e+02,2.800000000000000000e+02
4.441950559616088867e+00,3.000000000000000000e+02,2.550000000000000000e+02,2.800000000000000000e+02
4.504843711853027344e+00,3.000000000000000000e+02,2.548512039971151637e+02,2.790000000000000000e+02
4.569356441497802734e+00,3.000000000000000000e+02,2.550000000000000000e+02,2.790000000000000000e+02
4.633274793624877930e+00,3.000000000000000000e+02,2.550000000000000000e+02,2.790000000000000000e+02
4.697608947753906250e+00,3.000000000000000000e+02,2.550000000000000000e+02,2.780000000000000000e+02
4.761313915252685547e+00,3.000000000000000000e+02,2.455747629024057801e+02,2.760000000000000000e+02
4.825523376464843750e+00,3.000000000000000000e+02,1.976294338988146819e+02,2.710000000000000000e+02
4.921477794647216797e+00,3.000000000000000000e+02,2.550000000000000000e+02,2.700000000000000000e+02
4.984961748123168945e+00,3.000000000000000000e+02,2.550000000000000000e+02,2.700000000000000000e+02
5.049883604049682617e+00,3.000000000000000000e+02,2.550000000000000000e+02,2.690000000000000000e+02
5.113658428192138672e+00,3.000000000000000000e+02,1.192847268123369417e+02,2.590000000000000000e+02
5.177611589431762695e+00,3.000000000000000000e+02,2.289871504891551126e+02,2.560000000000000000e+02
5.241559743881225586e+00,3.000000000000000000e+02,1.797356286487640773e+02,2.500000000000000000e+02
5.304969787597656250e+00,3.000000000000000000e+02,1.600667041564428246e+02,2.430000000000000000e+02
5.368942499160766602e+00,3.000000000000000000e+02,1.905772942594711878e+02,2.380000000000000000e+02
5.433464050292968750e+00,3.000000000000000000e+02,1.570835932022629891e+02,2.310000000000000000e+02
5.496932268142700195e+00,3.000000000000000000e+02,1.520416894207293126e+02,2.240000000000000000e+02
5.561280250549316406e+00,3.000000000000000000e+02,1.502786683495207285e+02,2.170000000000000000e+02
5.625309467315673828e+00,3.000000000000000000e+02,1.464058118906414165e+02,2.100000000000000000e+02
5.721444368362426758e+00,3.000000000000000000e+02,1.914066172824843193e+02,2.040000000000000000e+02
5.785200595855712891e+00,3.000000000000000000e+02,1.569832292126862967e+02,1.980000000000000000e+02
